version	turns	points	slices	threads	time(ms)	std(%)
v7-p100	1000	500000	100	512X1024	216.60	0.99
v7-p100	1000	1000000	200	512X1024	524.40	0.29
v7-p100	1000	2000000	400	512X1024	744.00	0.12
v7-p100	1000	4000000	800	512X1024	1326.40	0.14
v7-p100	1000	7000000	1400	512X1024	1377.60	0.07
v8-p100	1000	500000	100	512X1024	25.60	5.30
v8-p100	1000	1000000	200	512X1024	38.20	3.47
v8-p100	1000	2000000	400	512X1024	50.20	7.28
v8-p100	1000	4000000	800	512X1024	77.20	3.70
v8-p100	1000	7000000	1400	512X1024	121.00	0.74
v9-p100	1000	500000	100	512X1024	29.00	13.62
v9-p100	1000	1000000	200	512X1024	38.80	3.42
v9-p100	1000	2000000	400	512X1024	50.80	2.61
v9-p100	1000	4000000	800	512X1024	77.40	2.53
v9-p100	1000	7000000	1400	512X1024	119.40	2.88
